genome_ID	NCBI_ID	OTU	novelty_category
GCF_002871895.1	33029	33029	known_strain
GCF_902375965.1	1720199	1720199	known_strain
GCF_003340125.1	84112	84112	known_strain
GCF_003340235.1	84112	84112	known_strain
GCF_015554835.1	84112	84112	known_strain
GCF_019131315.1	84112	84112	known_strain
GCF_000444055.1	1356854	1450	known_strain
GCF_001552675.1	1220572	192387	known_strain
GCF_001570745.1	1314748	1123961	known_strain
GCF_900107035.1	89784	89784	known_strain
GCF_001612575.1	1712031	1712031	known_strain
GCF_001655825.1	34105	34105	known_strain
GCF_001657875.1	34105	34105	known_strain
GCF_001675725.1	34105	34105	known_strain
GCF_000248035.1	1089454	2055	known_strain
GCF_000716975.1	2055	2055	known_strain
GCF_001305675.1	1136941	1136941	known_strain
GCF_009914495.1	36821	36821	known_strain
GCF_000179735.1	866776	39777	known_strain
GCF_003992065.1	1502943	1502943	known_strain
GCF_009710825.1	39778	39778	known_strain
GCF_009710845.1	39778	39778	known_strain
GCF_000178355.1	585528	2702	known_strain
GCF_003369875.1	2702	2702	known_strain
GCF_003397685.1	585528	2702	known_strain
GCF_013315045.1	2702	2702	known_strain
GCF_009668105.1	549	549	known_strain
GCF_017921215.1	553	553	known_strain
GCF_017921275.1	553	553	known_strain
GCF_019295205.1	574096	574096	known_strain
GCF_000957175.1	208224	208224	known_strain
GCF_001022355.1	208224	208224	known_strain
GCF_002278195.1	550	550	known_strain
GCF_016427975.1	550	550	known_strain
GCF_000613725.1	1236494	407975	known_strain
GCF_002355195.1	28131	28131	known_strain
GCF_009493935.1	165179	165179	known_strain
GCF_009495135.1	165179	165179	known_strain
GCF_012368375.1	552	552	known_strain
GCF_012980765.1	552	552	known_strain
GCF_014353715.1	1619313	1619313	known_strain
GCF_015650045.1	552	552	known_strain
GCF_000736695.1	1398204	40576	known_strain
GCF_000785665.1	628	628	known_strain
GCF_013450035.1	628	628	known_strain
GCF_900113945.1	351675	351675	known_strain
GCF_000194155.1	994479	60894	known_strain
GCF_000710755.1	28042	28042	known_strain
GCF_002846475.1	60894	60894	known_strain
GCF_016859185.1	1836	1836	known_strain
GCF_000069225.1	31964	28447	known_strain
GCF_002240555.1	31964	28447	known_strain
GCF_009796145.1	33013	28447	known_strain
GCF_018598325.1	28447	28447	known_strain
GCF_001319245.1	520	520	known_strain
GCF_001987075.1	520	520	known_strain
GCF_001988075.1	520	520	known_strain
GCF_009627575.1	35814	35814	known_strain
GCF_000723545.1	66712	1744	known_strain
GCF_001369035.1	1744	1744	known_strain
GCF_900087185.1	1744	1744	known_strain
GCF_900087375.1	1744	1744	known_strain
GCF_001575155.1	57704	57704	known_strain
GCF_900104775.1	57704	57704	known_strain
GCF_900460355.1	2061	2061	known_strain
GCF_900637875.1	57704	57704	known_strain
GCF_000193085.1	857571	480	known_strain
GCF_002014765.1	90241	90241	known_strain
GCF_003625805.1	480	480	known_strain
GCF_009378915.1	480	480	known_strain
GCF_006088775.1	28264	28264	known_strain
GCF_018913145.1	131112	131112	known_strain
GCF_018913765.1	131112	131112	known_strain
GCF_900105865.1	131112	131112	known_strain
GCF_000092865.1	446466	1711	known_strain
GCF_000312005.1	1095767	1465811	known_strain
GCF_020412445.1	76862	76862	known_strain
GCF_900046455.1	1689271	1689271	known_strain
GCF_000092985.1	446468	2014	known_strain
GCF_000341005.1	1246461	225762	known_strain
GCF_000341105.1	570268	1246458	known_strain
GCF_012396345.1	2014	2014	known_strain
GCF_001483945.1	1078773	80842	known_strain
GCF_001591225.1	1223495	80842	known_strain
GCF_003263475.1	80842	80842	known_strain
GCF_003263495.1	80842	80842	known_strain
GCF_000143765.1	525373	258	known_strain
GCF_007990895.1	1220576	1010	known_strain
GCF_014219055.1	1010	1010	known_strain
GCF_900168125.1	1513896	1513896	known_strain
GCF_014220185.1	253	253	known_strain
GCF_014220395.1	253	253	known_strain
GCF_900103755.1	1141221	1141221	known_strain
GCF_900129755.1	421058	421058	known_strain
GCF_000468755.1	1125712	138595	known_strain
GCF_001437585.1	633147	133926	known_strain
GCF_016900315.1	138595	138595	known_strain
GCF_901212655.1	133926	133926	known_strain
GCF_000988015.1	293	293	known_strain
GCF_002205555.1	293	293	known_strain
GCF_004421065.1	588932	588932	known_strain
GCF_900445995.1	293	293	known_strain
GCF_000423985.1	1280687	831	known_strain
GCF_000424465.1	877422	185008	known_strain
GCF_001858005.1	185008	185008	known_strain
GCF_900129945.1	1121131	831	known_strain
GCF_000146285.1	585198	2051	known_strain
GCF_012976665.1	2052	2052	known_strain
GCF_012976725.1	2052	2052	known_strain
GCF_012976885.1	2052	2052	known_strain
GCF_001546555.1	54005	54005	known_strain
GCF_016726485.1	54005	54005	known_strain
GCF_900176115.1	573058	1258	known_strain
GCF_902363585.1	54005	54005	known_strain
GCF_000463565.1	1406	1406	known_strain
GCF_004358835.1	1451	1451	known_strain
GCF_018403065.1	130049	130049	known_strain
GCF_900454495.1	44252	44252	known_strain
GCF_003012055.1	215200	215200	known_strain
GCF_014230005.1	215200	215200	known_strain
GCF_020558055.1	1261	1261	known_strain
GCF_900110295.1	215200	215200	known_strain
GCF_000632125.1	1219045	76947	known_strain
GCF_001757355.1	1592790	1592790	known_strain
GCF_003967075.1	135719	135719	known_strain
GCF_004305355.1	121428	121428	known_strain
GCF_001571125.1	1349749	299255	known_strain
GCF_019801265.1	44012	44012	known_strain
GCF_019801795.1	44012	44012	known_strain
GCF_019802085.1	44012	44012	known_strain
GCF_019392295.1	215743	215743	known_strain
GCF_019802205.1	1641875	1641875	known_strain
GCF_900109765.1	573024	573024	known_strain
GCF_900115165.1	1005928	1005928	known_strain
GCF_000153225.1	313594	531	known_strain
GCF_001680875.1	996801	996801	known_strain
GCF_001680885.1	1774273	1774273	known_strain
GCF_018861005.1	1774273	1774273	known_strain
GCF_001661495.1	182141	182141	known_strain
GCF_001696455.1	43657	43657	known_strain
GCF_003947165.1	43658	43658	known_strain
GCF_004214845.1	161398	161398	known_strain
GCF_000211495.1	1001530	553611	known_strain
GCF_003004605.1	85581	38293	known_strain
GCF_003026615.1	659	659	known_strain
GCF_009763125.1	38293	38293	known_strain
GCF_000455965.1	1307427	851	known_strain
GCF_019583395.1	851	851	known_strain
GCF_900095705.1	1852365	1852365	known_strain
GCF_900683735.1	469617	861	known_strain
GCF_000422145.1	1261126	75985	known_strain
GCF_001929645.1	75985	75985	known_strain
GCF_007974085.1	75985	75985	known_strain
GCF_007977825.1	75985	75985	known_strain
GCF_017303115.1	282683	282683	known_strain
GCF_017309175.1	344736	344736	known_strain
GCF_020171625.1	344736	344736	known_strain
GCF_900112435.1	1229727	1229727	known_strain
GCF_009680485.1	39490	39490	known_strain
GCF_018784655.1	39496	39496	known_strain
GCF_020559625.1	1736	1736	known_strain
GCF_900115385.1	155865	155865	known_strain
GCF_000765245.1	33035	33035	known_strain
GCF_001405215.1	40520	40520	known_strain
GCF_001405455.1	40520	40520	known_strain
GCF_013302195.1	40520	40520	known_strain
GCF_012843825.1	39486	39486	known_strain
GCF_013301275.1	88431	88431	known_strain
GCF_015558615.1	88431	88431	known_strain
GCF_020561685.1	39486	39486	known_strain
GCF_013302455.1	649756	649756	known_strain
GCF_015554695.1	649756	649756	known_strain
GCF_020560665.1	649756	649756	known_strain
GCF_020564205.1	105841	105841	known_strain
GCF_003467805.1	853	853	known_strain
GCF_009680105.1	853	853	known_strain
GCF_902497325.1	853	853	known_strain
GCF_902497435.1	853	853	known_strain
GCF_000154425.1	411474	33043	known_strain
GCF_013301475.1	410072	410072	known_strain
GCF_015558505.1	410072	410072	known_strain
GCF_018785055.1	33043	33043	known_strain
GCF_000154445.1	445973	261299	known_strain
GCF_005845095.1	261299	261299	known_strain
GCF_018917435.1	261299	261299	known_strain
GCF_900167285.1	445973	261299	known_strain
GCF_000265365.1	679935	214856	known_strain
GCF_015554845.1	1288121	1288121	known_strain
GCF_019132405.1	214856	214856	known_strain
GCF_902376165.1	1465754	1465754	known_strain
GCF_015560945.1	1547	1547	known_strain
GCF_016766855.1	1547	1547	known_strain
GCF_019131195.1	1547	1547	known_strain
GCF_020538465.1	1547	1547	known_strain
GCF_009911235.1	169435	169435	known_strain
GCF_010206195.1	169435	169435	known_strain
GCF_015551265.1	1720200	1720200	known_strain
GCF_015554285.1	169435	169435	known_strain
GCF_000473105.1	999548	221822	known_strain
GCF_002393525.1	60890	60890	known_strain
GCF_002412045.1	1580596	1580596	known_strain
GCF_003443555.1	221822	221822	known_strain
GCF_002265395.1	587	587	known_strain
GCF_010319105.1	587	587	known_strain
GCF_011683805.1	587	587	known_strain
GCF_020271745.1	126385	126385	known_strain
GCF_009876315.1	74426	74426	known_strain
GCF_015549175.1	74426	74426	known_strain
GCF_015557945.1	74426	74426	known_strain
GCF_015560135.1	74426	74426	known_strain
GCF_003458535.1	360807	360807	known_strain
GCF_003475515.1	166486	166486	known_strain
GCF_013300445.1	166486	166486	known_strain
GCF_015550045.1	301302	301302	known_strain
GCF_003464225.1	1735	1735	known_strain
GCF_003464345.1	1735	1735	known_strain
GCF_015547685.1	1735	1735	known_strain
GCF_019131495.1	1735	1735	known_strain
GCF_001648245.1	539	539	known_strain
GCF_009650825.1	539	539	known_strain
GCF_009650925.1	539	539	known_strain
GCF_009650945.1	539	539	known_strain
GCF_000429225.1	1120941	272548	known_strain
